"","year","month","carrier","carrier_name","airport","airport_name","arr_flights","arr_del15","carrier_ct","weather_ct","nas_ct","late_aircraft_ct","arr_delay","security_ct"
"162",0,9,"NK","Spirit Air Lines","PHX","Phoenix, AZ: Phoenix Sky Harbor International",30,7,4.11,0,2.03,0.86,1072,0
"163",0,9,"OO","SkyWest Airlines Inc.","ATL","Atlanta, GA: Hartsfield-Jackson Atlanta International",1297,161,47,3.12,38.84,71.04,9754,1
"164",0,9,"OO","SkyWest Airlines Inc.","CLT","Charlotte, NC: Charlotte Douglas International",103,21,6.32,0,12.85,0.83,732,1
"165",0,9,"OO","SkyWest Airlines Inc.","DEN","Denver, CO: Denver International",3773,343,91.29,8,100.91,141.34,28588,1.46
"166",0,9,"OO","SkyWest Airlines Inc.","DFW","Dallas/Fort Worth, TX: Dallas/Fort Worth International",327,47,12.86,0.95,13.17,20.02,3621,0
"167",0,9,"OO","SkyWest Airlines Inc.","IAH","Houston, TX: George Bush Intercontinental/Houston",724,98,33.45,0,32.28,32.27,4634,0
"168",0,9,"OO","SkyWest Airlines Inc.","LAS","Las Vegas, NV: McCarran International",340,53,10.79,2,11.34,28.87,4489,0
"169",0,9,"OO","SkyWest Airlines Inc.","LAX","Los Angeles, CA: Los Angeles International",2616,345,47.1,3.93,135.41,158.56,23751,0
"170",0,9,"OO","SkyWest Airlines Inc.","ORD","Chicago, IL: Chicago O'Hare International",6518,958,175.13,19.87,294.84,468.16,70519,0
"171",0,9,"OO","SkyWest Airlines Inc.","PHX","Phoenix, AZ: Phoenix Sky Harbor International",1101,101,26.67,0.94,30.05,43.34,8450,0
"172",0,9,"OO","SkyWest Airlines Inc.","SFO","San Francisco, CA: San Francisco International",3001,746,64.09,31.26,389.29,260.7,64702,0.67
"173",0,9,"UA","United Air Lines Inc.","ATL","Atlanta, GA: Hartsfield-Jackson Atlanta International",437,46,11.35,0.85,19.5,14.3,2141,0
"174",0,9,"UA","United Air Lines Inc.","CLT","Charlotte, NC: Charlotte Douglas International",95,11,1.5,0,4.96,4.55,487,0
"175",0,9,"UA","United Air Lines Inc.","DEN","Denver, CO: Denver International",5150,356,128.22,5.75,110.38,111.65,21103,0
"176",0,9,"UA","United Air Lines Inc.","DFW","Dallas/Fort Worth, TX: Dallas/Fort Worth International",531,37,16.13,0.12,10.13,10.62,2431,0
"177",0,9,"UA","United Air Lines Inc.","IAH","Houston, TX: George Bush Intercontinental/Houston",4234,328,108.05,8.93,124.43,86.58,17724,0
"178",0,9,"UA","United Air Lines Inc.","LAS","Las Vegas, NV: McCarran International",1090,125,29.54,4.22,51.03,40.22,8677,0
"179",0,9,"UA","United Air Lines Inc.","LAX","Los Angeles, CA: Los Angeles International",2193,233,74.89,7.1,82.53,68.48,13408,0
"180",0,9,"UA","United Air Lines Inc.","ORD","Chicago, IL: Chicago O'Hare International",6916,574,161.98,11.55,221.02,179.23,35347,0.22
"181",0,9,"UA","United Air Lines Inc.","PHX","Phoenix, AZ: Phoenix Sky Harbor International",516,45,13.51,2,13.42,16.07,2346,0
"182",0,9,"UA","United Air Lines Inc.","SFO","San Francisco, CA: San Francisco International",5150,868,124.52,6.15,535.85,201.48,57133,0
"183",0,9,"VX","Virgin America","DEN","Denver, CO: Denver International",84,19,2.34,0.44,6.4,9.82,1070,0
"184",0,9,"VX","Virgin America","LAS","Las Vegas, NV: McCarran International",354,79,8.69,2.59,31.62,35.74,4866,0.38
"185",0,9,"VX","Virgin America","LAX","Los Angeles, CA: Los Angeles International",1242,187,35.44,5.1,77.13,68.32,9113,1
"186",0,9,"VX","Virgin America","ORD","Chicago, IL: Chicago O'Hare International",141,21,2.37,1.65,6.81,10.17,1017,0
"187",0,9,"VX","Virgin America","SFO","San Francisco, CA: San Francisco International",1861,522,99.04,3.94,282.37,135.7,30771,0.95
"188",0,9,"WN","Southwest Airlines Co.","ATL","Atlanta, GA: Hartsfield-Jackson Atlanta International",3334,381,120.38,6.56,102,151.78,19069,0.28
